Time,Last Traded Price,Volume,,
2026/02/11 09:30,87.8,1487100,,
2026/02/11 09:31,87.85,803000,,
2026/02/11 09:32,87.85,232200,,
2026/02/11 09:33,87.8,566300,,
2026/02/11 09:34,87.75,265500,,
2026/02/11 09:35,87.75,392100,,
2026/02/11 09:36,87.7,199500,,
2026/02/11 09:37,87.55,632600,,
2026/02/11 09:38,87.55,510400,,
2026/02/11 09:39,87.3,291300,,
2026/02/11 09:40,87.5,706900,,
2026/02/11 09:41,87.85,382400,,
2026/02/11 09:42,88.3,382900,,
2026/02/11 09:43,88.45,258900,,
2026/02/11 09:44,88.3,174500,,
2026/02/11 09:45,88.25,214100,,
2026/02/11 09:46,88.45,101600,,
2026/02/11 09:47,88.4,109100,,
2026/02/11 09:48,88.65,257000,,
2026/02/11 09:49,88.5,150500,,
2026/02/11 09:50,88.1,129500,,
2026/02/11 09:51,88.25,79900,,
2026/02/11 09:52,88.3,84400,,
2026/02/11 09:53,88.25,40700,,
2026/02/11 09:54,88.3,57100,,
2026/02/11 09:55,88.3,62500,,
2026/02/11 09:56,88.2,40300,,
2026/02/11 09:57,88.2,361300,,
2026/02/11 09:58,88.2,43400,,
2026/02/11 09:59,88.15,49600,,
2026/02/11 10:00,88.2,423300,,
2026/02/11 10:01,88.35,154200,,
2026/02/11 10:02,88.35,129500,,
2026/02/11 10:03,88.5,78300,,
2026/02/11 10:04,88.35,273300,,
2026/02/11 10:05,88.45,77700,,
2026/02/11 10:06,88.45,52100,,
2026/02/11 10:07,88.5,112000,,
2026/02/11 10:08,88.55,62400,,
2026/02/11 10:09,88.5,32400,,
2026/02/11 10:10,88.4,129400,,
2026/02/11 10:11,88.45,42200,,
2026/02/11 10:12,88.45,79800,,
2026/02/11 10:13,88.85,536200,,
2026/02/11 10:14,88.9,124900,,
2026/02/11 10:15,88.9,83900,,
2026/02/11 10:16,89.05,278600,,
2026/02/11 10:17,89.05,230000,,
2026/02/11 10:18,88.95,134300,,
2026/02/11 10:19,88.825,118200,,
2026/02/11 10:20,88.9,86300,,
2026/02/11 10:21,89,57300,,
2026/02/11 10:22,89.25,263500,,
2026/02/11 10:23,89.3,232700,,
2026/02/11 10:24,89,277000,,
2026/02/11 10:25,89.1,88000,,
2026/02/11 10:26,89.15,64400,,
2026/02/11 10:27,89.1,44700,,
2026/02/11 10:28,88.95,201200,,
2026/02/11 10:29,88.95,74600,,
2026/02/11 10:30,88.9,60500,,
2026/02/11 10:31,88.9,74600,,
2026/02/11 10:32,89.05,52300,,
2026/02/11 10:33,89.1,29300,,
2026/02/11 10:34,89.05,38700,,
2026/02/11 10:35,89.05,58400,,
2026/02/11 10:36,89.05,56300,,
2026/02/11 10:37,89.05,72200,,
2026/02/11 10:38,88.95,111300,,
2026/02/11 10:39,88.95,76300,,
2026/02/11 10:40,89.05,168300,,
2026/02/11 10:41,89.2,117500,,
2026/02/11 10:42,89.2,61800,,
2026/02/11 10:43,89.2,63900,,
2026/02/11 10:44,89.25,61400,,
2026/02/11 10:45,89.3,76400,,
2026/02/11 10:46,89.25,98400,,
2026/02/11 10:47,89.15,79300,,
2026/02/11 10:48,89,48600,,
2026/02/11 10:49,89,15100,,
2026/02/11 10:50,89.05,128200,,
2026/02/11 10:51,89.2,45900,,
2026/02/11 10:52,89.2,44600,,
2026/02/11 10:53,89.15,47400,,
2026/02/11 10:54,89.15,64600,,
2026/02/11 10:55,88.875,211100,,
2026/02/11 10:56,88.9,134100,,
2026/02/11 10:57,88.9,11300,,
2026/02/11 10:58,88.9,101400,,
